name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
#HWI#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy Turbo Cannon,HWI_TurbocannonL,2,,8000,1000,,100,,15,11,25,,,,ENERGY,110,,0,0.5,1,0,4,8,1,1,,1000,1000,,15,,,FIRE_WHEN_INEFFICIENT,"HSI_bp,energy16,HWI_Upd,LR",,Halo Dynamics Weapons Industry,,Suppression,,,,,"Increases rate of fire by up to %s during sustained fire. When the fire rate bonus reaches %s, cause %s on hit. The fire rate bonus disappears after not firing for some time.",100%|60%|area damage,,,,
Medium Turbo Cannon,HWI_TurbocannonM,2,,3000,1000,,100,,15,17,12,,,,ENERGY,110,,0,1.33,1,0,4,8,1,1,,1000,1000,,15,,,FIRE_WHEN_INEFFICIENT,"HSI_bp,energy8,HWI_Upd,LR",,Halo Dynamics Weapons Industry,,Suppression,,,,,"Increases rate of fire by up to %s during sustained fire. When the fire rate bonus reaches %s, cause %s on hit. The fire rate bonus disappears after not firing for some time.",100%|60%|area damage,,,,
Light Turbo Cannon,HWI_TurbocannonS,2,,1250,1000,,60,,15,25,6,,,,ENERGY,60,,0,1.33,1,0,4,8,1,1,,1000,1000,,15,,,FIRE_WHEN_INEFFICIENT,"HSI_bp,energy3,HWI_Upd,LR",,Halo Dynamics Weapons Industry,,Suppression,,,,,"Increases rate of fire by up to %s during sustained fire. When the fire rate bonus reaches %s, cause %s on hit. The fire rate bonus disappears after not firing for some time.",100%|60%|area damage,,,,
Light PD Turbo Cannon,HWI_TurbocannonSPD,2,,250,400,,10,,4,115,2,,,,FRAGMENTATION,1,,0,0.1,1,0,4,8,1,1,,800,800,,15,,,PD,"HSI_bp,energy1,pd1",,Halo Dynamics Weapons Industry,,Point Defense,,,,,"Increases rate of fire by up to %s during sustained fire. When the fire rate bonus reaches %s, cause %s on hit. The fire rate bonus disappears after not firing for some time.",100%|60%|area damage,,,,
Heavy Mass Driver,HWI_MassDriverL,1,,1250,900,,200,,50,10,22,,,,HIGH_EXPLOSIVE,160,,0,0.8,1,,0,10,1,5,,750,,,15,,,PD,"HSI_bp,kinetic15,he14,HWI_Upd",,Halo Dynamics Weapons Industry,,General,,,,,"Uses different munitions for different targets. When using proximity munitions, the trigger radius is larger for fighters and missiles, and flux costs are reduced by %s.",50%,"Uses %s munitions against armor, %s munitions against shields, and does %s increased damage against small targets with %s munitions.
[Access Privileges Insufficient]",high explosive|kinetic|50%|proximity fragmentation,,
Medium Mass Driver,HWI_MassDriverM,1,,750,800,,100,,32,16,12,,,,HIGH_EXPLOSIVE,80,,0,0.66,1,,0,4,4,4,,750,,,15,,,PD,"HSI_bp,kinetic8,he7,HWI_Upd",,Halo Dynamics Weapons Industry,,General,,,,,"Uses different munitions for different targets. When using proximity munitions, the trigger radius is larger for fighters and missiles, and flux costs are reduced by %s.",50%,"Uses %s munitions against armor, %s munitions against shields, and does %s increased damage against small targets with %s munitions.
[Access Privileges Insufficient]",high explosive|kinetic|50%|proximity fragmentation,,
Light Mass Driver,HWI_MassDriverS,1,,450,700,,100,,11,25,6,,,,HIGH_EXPLOSIVE,80,,0,1,1,,0,4,4,4,,750,,,15,,,PD,"HSI_bp,kinetic3,he2,HWI_Upd",,Halo Dynamics Weapons Industry,,General,,,,,"Uses different munitions for different targets. When using proximity munitions, the trigger radius is larger for fighters and missiles, and flux costs are reduced by %s.",50%,"Uses %s munitions against armor, %s munitions against shields, and does %s increased damage against small targets with %s munitions.
[Access Privileges Insufficient]",high explosive|kinetic|50%|proximity fragmentation,,
Arbiter Heavy Artillery,HWI_Arbiter,1,,9500,900,,600,,70,12,20,,,,HIGH_EXPLOSIVE,600,,1,2.5,2,1,4,6,4,2,,750,800,,1000,,,,"HSI_bp,he19",,Halo Dynamics Weapons Industry,,Anti Armor,,,,,"Locks onto target with fire control before firing. If lock is successful, reduce cooldown by %s.",20%|Tracking,,,,
凛冬炮,,2,,3250,500,,2000,,500,30,16,40,,,ENERGY,2500,,0.5,9.5,1,0,0,5,1,10,,1200,1200,,75,,,"FIRE_WHEN_INEFFICIENT,STRIKE, USE_VS_FRIGATES","energy10,HSI_Elite_bp",,Halo Dynamics Weapons Industry,,Strike,,,,,,,,,,
